process,version,name,nameDiff,mandatory,mandatoryDiff,range,rangeDiff,default,defaultDiff,description,descriptionDiff
Zabbix agent (UNIX),4.0,Alias,match,no,match,,match,,match,"Sets an alias for an item key. It can be used to substitute long and complex item key with a smaller and simpler one.<br>Multiple <em>Alias</em> parameters may be present. Multiple parameters with the same <em>Alias</em> key are not allowed.<br>Different <em>Alias</em> keys may reference the same item key.<br>Aliases can be used in <em>HostMetadataItem</em> but not in <em>HostnameItem</em> parameters.<br><br>Examples:<br><br>1. Retrieving the ID of user 'zabbix'.<br>Alias=zabbix.userid:vfs.file.regexp[/etc/passwd,""^zabbix:.:([0-9]+)"",,,,\1]<br>Now shorthand key <strong>zabbix.userid</strong> may be used to retrieve data.<br><br>2. Getting CPU utilization with default and custom parameters.<br>Alias=cpu.util:system.cpu.util<br>Alias=cpu.util[*]:system.cpu.util[*]<br>This allows use <strong>cpu.util</strong> key to get CPU utilization percentage with default parameters as well as use <strong>cpu.util[all, idle, avg15]</strong> to get specific data about CPU utilization.<br><br>3. Running multiple low-level discovery rules processing the same discovery items.<br>Alias=vfs.fs.discovery[*]:vfs.fs.discovery<br>Now it is possible to set up several discovery rules using <strong>vfs.fs.discovery</strong> with different parameters for each rule, e.g., <strong>vfs.fs.discovery[foo]</strong>, <strong>vfs.fs.discovery[bar]</strong>, etc.",match
Zabbix agent (UNIX),4.0,AllowRoot,match,no,match,,match,0,match,"Allow the agent to run as 'root'. If disabled and the agent is started by 'root', the agent will try to switch to user 'zabbix' instead. Has no effect if started under a regular user.<br>0 - do not allow<br>1 - allow",match
Zabbix agent (UNIX),4.0,BufferSend,match,no,match,1-3600,match,5,match,Do not keep data longer than N seconds in buffer.,match
Zabbix agent (UNIX),4.0,BufferSize,match,no,match,2-65535,match,100,match,Maximum number of values in a memory buffer. The agent will send<br>all collected data to Zabbix server or proxy if the buffer is full.,match
Zabbix agent (UNIX),4.0,DebugLevel,match,no,match,0-5,match,3,match,Specifies debug level:<br>0 - basic information about starting and stopping of Zabbix processes<br>1 - critical information<br>2 - error information<br>3 - warnings<br>4 - for debugging (produces lots of information)<br>5 - extended debugging (produces even more information),match
Zabbix agent (UNIX),4.0,EnableRemoteCommands,match,no,match,,match,0,match,Whether remote commands from Zabbix server are allowed.<br>0 - not allowed<br>1 - allowed,match
Zabbix agent (UNIX),4.0,HostMetadata,match,no,match,0-255 characters,match,,match,"Optional parameter that defines host metadata. Host metadata is used only at host auto-registration process (active agent).<br>If not defined, the value will be acquired from HostMetadataItem.<br>An agent will issue an error and not start if the specified value is over the limit or a non-UTF-8 string.<br>This option is supported in version 2.2.0 and higher.",match
Zabbix agent (UNIX),4.0,HostMetadataItem,match,no,match,,match,,match,Optional parameter that defines a <em>Zabbix agent</em> item used for getting host metadata. This option is only used when HostMetadata is not defined.<br>Supports UserParameters and aliases. Supports <em>system.run[]</em> regardless of <em>EnableRemoteCommands</em> value.<br>HostMetadataItem value is retrieved on each auto-registration attempt and is used only at host auto-registration process (active agent).<br>During an auto-registration request an agent will log a warning message if the value returned by the specified item is over the limit of 255 characters.<br>The value returned by the item must be a UTF-8 string otherwise it will be ignored.<br>This option is supported in version 2.2.0 and higher.,match
Zabbix agent (UNIX),4.0,Hostname,match,no,match,,match,Set by HostnameItem,match,"Unique, case sensitive hostname.<br>Required for active checks and must match hostname as configured on the server.<br>Allowed characters: alphanumeric, '.', ' ', '_' and '-'.<br>Maximum length: 64",match
Zabbix agent (UNIX),4.0,HostnameItem,match,no,match,,match,system.hostname,match,"Optional parameter that defines a <em>Zabbix agent</em> item used for getting host name. This option is only used when Hostname is not defined.<br>Does not support UserParameters or aliases, but does support <em>system.run[]</em> regardless of <em>EnableRemoteCommands</em> value.<br>This option is supported in version 1.8.6 and higher.",match
Zabbix agent (UNIX),4.0,Include,match,no,match,,match,,match,"You may include individual files or all files in a directory in the configuration file.<br>To only include relevant files in the specified directory, the asterisk wildcard character is supported for pattern matching. For example: <code>/absolute/path/to/config/files/*.conf</code>. Pattern matching is supported since Zabbix 2.4.0.<br>See special notes about limitations.",match
Zabbix agent (UNIX),4.0,ListenIP,match,no,match,,match,0.0.0.0,match,List of comma delimited IP addresses that the agent should listen on.<br>Multiple IP addresses are supported in version 1.8.3 and higher.,match
Zabbix agent (UNIX),4.0,ListenPort,match,no,match,1024-32767,match,10050,match,Agent will listen on this port for connections from the server.,match
Zabbix agent (UNIX),4.0,LoadModule,match,no,match,,match,,match,Module to load at agent startup. Modules are used to extend functionality of the agent.<br>Formats:<br>LoadModule=&lt;module.so&gt;<br>LoadModule=&lt;path/module.so&gt;<br>(since 4.0.9) LoadModule=&lt;/abs_path/module.so&gt;<br>Either the module must be located in directory specified by LoadModulePath or (since 4.0.9) the path must precede the module name. If the preceding path is absolute (starts with '/') then LoadModulePath is ignored.<br>It is allowed to include multiple LoadModule parameters.,match
Zabbix agent (UNIX),4.0,LoadModulePath,match,no,match,,match,,match,Full path to location of agent modules.<br>Default depends on compilation options.,match
Zabbix agent (UNIX),4.0,LogFile,match,"yes, if LogType is set to <em>file</em>, otherwise<br>no",match,,match,,match,Name of log file.,match
Zabbix agent (UNIX),4.0,LogFileSize,match,no,match,0-1024,match,1,match,"Maximum size of log file in MB.<br>0 - disable automatic log rotation.<br><em>Note</em>: If the log file size limit is reached and file rotation fails, for whatever reason, the existing log file is truncated and started anew.",match
Zabbix agent (UNIX),4.0,LogType,match,no,match,,match,file,match,"Log output type:<br><em>file</em> - write log to file specified by LogFile parameter,<br><em>system</em> - write log to syslog,<br><em>console</em> - write log to standard output.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix agent (UNIX),4.0,LogRemoteCommands,match,no,match,,match,0,match,Enable logging of executed shell commands as warnings.<br>0 - disabled<br>1 - enabled,match
Zabbix agent (UNIX),4.0,MaxLinesPerSecond,match,no,match,1-1000,match,20,match,"Maximum number of new lines the agent will send per second to Zabbix server or proxy when processing 'log' and 'eventlog' active checks.<br>The provided value will be overridden by the parameter 'maxlines',<br>provided in 'log' or 'eventlog' item key.<br><em>Note</em>: Zabbix will process 10 times more new lines than set in <em>MaxLinesPerSecond</em> to seek the required string in log items.",match
Zabbix agent (UNIX),4.0,PidFile,match,no,match,,match,/tmp/zabbix_agentd.pid,match,Name of PID file.,match
Zabbix agent (UNIX),4.0,RefreshActiveChecks,match,no,match,60-3600,match,120,match,"How often list of active checks is refreshed, in seconds.<br>Note that after failing to refresh active checks the next refresh will be attempted after 60 seconds.",match
