process,version,name,nameDiff,mandatory,mandatoryDiff,range,rangeDiff,default,defaultDiff,description,descriptionDiff
Zabbix server,4.0,AlertScriptsPath,match,no,match,,match,/usr/local/share/zabbix/alertscripts,match,Location of custom alert scripts (depends on compile-time installation variable <em>datadir</em>).,match
Zabbix server,4.0,AllowRoot,match,no,match,,match,0,match,"Allow the server to run as 'root'. If disabled and the server is started by 'root', the server will try to switch to the 'zabbix' user instead. Has no effect if started under a regular user.<br>0 - do not allow<br>1 - allow<br>This parameter is supported since Zabbix 2.2.0.",match
Zabbix server,4.0,CacheSize,match,no,match,128K-64G,match,8M,match,"Size of configuration cache, in bytes.<br>Shared memory size for storing host, item and trigger data.<br>The maximum value of this parameter was increased from 8GB to 64GB in Zabbix 4.0.21.",match
Zabbix server,4.0,CacheUpdateFrequency,match,no,match,1-3600,match,60,match,"How often Zabbix will perform update of configuration cache, in seconds.<br>See also runtime control options.",match
Zabbix server,4.0,DBHost,match,no,match,,match,localhost,match,Database host name.<br>In case of MySQL localhost or empty string results in using a socket. In case of PostgreSQL<br>only empty string results in attempt to use socket.,match
Zabbix server,4.0,DBName,match,yes,match,,match,,match,Database name.,match
Zabbix server,4.0,DBPassword,match,no,match,,match,,match,Database password.<br>Comment this line if no password is used.,match
Zabbix server,4.0,DBPort,match,no,match,1024-65535,match,,match,Database port when not using local socket.,match
Zabbix server,4.0,DBSchema,match,no,match,,match,,match,Schema name. Used for IBM DB2 and PostgreSQL.,match
Zabbix server,4.0,DBSocket,match,no,match,,match,,match,Path to MySQL socket file.,match
Zabbix server,4.0,DBUser,match,no,match,,match,,match,Database user.,match
Zabbix server,4.0,DebugLevel,match,no,match,0-5,match,3,match,Specifies debug level:<br>0 - basic information about starting and stopping of Zabbix processes<br>1 - critical information<br>2 - error information<br>3 - warnings<br>4 - for debugging (produces lots of information)<br>5 - extended debugging (produces even more information)<br>See also runtime control options.,match
Zabbix server,4.0,ExportDir,match,no,match,,match,,match,"Directory for real-time export of events, history and trends in newline-delimited JSON format. If set, enables real-time export.<br>This parameter is supported since Zabbix 4.0.0.",match
Zabbix server,4.0,ExportFileSize,match,no,match,1M-1G,match,1G,match,Maximum size per export file in bytes. Only used for rotation if ExportDir is set.<br>This parameter is supported since Zabbix 4.0.0.,match
Zabbix server,4.0,ExternalScripts,match,no,match,,match,/usr/local/share/zabbix/externalscripts,match,Location of external scripts (depends on compile-time installation variable <em>datadir</em>).,match
Zabbix server,4.0,Fping6Location,match,no,match,,match,/usr/sbin/fping6,match,"Location of fping6.<br>Make sure that fping6 binary has root ownership and SUID flag set.<br>Make empty (""Fping6Location="") if your fping utility is capable to process IPv6 addresses.",match
Zabbix server,4.0,FpingLocation,match,no,match,,match,/usr/sbin/fping,match,Location of fping.<br>Make sure that fping binary has root ownership and SUID flag set!,match
Zabbix server,4.0,HistoryCacheSize,match,no,match,128K-2G,match,16M,match,"Size of history cache, in bytes.<br>Shared memory size for storing history data.",match
Zabbix server,4.0,HistoryIndexCacheSize,match,no,match,128K-2G,match,4M,match,"Size of history index cache, in bytes.<br>Shared memory size for indexing history data stored in history cache.<br>The index cache size needs roughly 100 bytes to cache one item.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix server,4.0,HistoryStorageDateIndex,match,no,match,,match,0,match,Enable preprocessing of history values in history storage to store values in different indices based on date:<br>0 - disable<br>1 - enable,match
Zabbix server,4.0,HistoryStorageURL,match,no,match,,match,,match,History storage HTTP[S] URL.<br>This parameter is used for Elasticsearch setup.,match
Zabbix server,4.0,HistoryStorageTypes,match,no,match,,match,"uint,dbl,str,log,text",match,Comma separated list of value types to be sent to the history storage.<br>This parameter is used for Elasticsearch setup.,match
Zabbix server,4.0,HousekeepingFrequency,match,no,match,0-24,match,1,match,"How often Zabbix will perform housekeeping procedure (in hours).<br>Housekeeping is removing outdated information from the database.<br><em>Note</em>: To prevent housekeeper from being overloaded (for example, when history and trend periods are greatly reduced), no more than 4 times HousekeepingFrequency hours of outdated information are deleted in one housekeeping cycle, for each item. Thus, if HousekeepingFrequency is 1, no more than 4 hours of outdated information (starting from the oldest entry) will be deleted per cycle.<br><em>Note</em>: To lower load on server startup housekeeping is postponed for 30 minutes after server start. Thus, if HousekeepingFrequency is 1, the very first housekeeping procedure after server start will run after 30 minutes, and will repeat with one hour delay thereafter. This postponing behavior is in place since Zabbix 2.4.0.<br>Since Zabbix 3.0.0 it is possible to disable automatic housekeeping by setting HousekeepingFrequency to 0. In this case the housekeeping procedure can only be started by <em>housekeeper_execute</em> runtime control option and the period of outdated information deleted in one housekeeping cycle is 4 times the period since the last housekeeping cycle, but not less than 4 hours and not greater than 4 days.<br>See also runtime control options.",match
Zabbix server,4.0,Include,match,no,match,,match,,match,"You may include individual files or all files in a directory in the configuration file.<br>To only include relevant files in the specified directory, the asterisk wildcard character is supported for pattern matching. For example: <code>/absolute/path/to/config/files/*.conf</code>. Pattern matching is supported since Zabbix 2.4.0.<br>See special notes about limitations.",match
Zabbix server,4.0,JavaGateway,match,no,match,,match,,match,IP address (or hostname) of Zabbix Java gateway.<br>Only required if Java pollers are started.<br>This parameter is supported since Zabbix 2.0.0.,match
Zabbix server,4.0,JavaGatewayPort,match,no,match,1024-32767,match,10052,match,Port that Zabbix Java gateway listens on.<br>This parameter is supported since Zabbix 2.0.0.,match
Zabbix server,4.0,ListenIP,match,no,match,,match,0.0.0.0,match,List of comma delimited IP addresses that the trapper should listen on.<br>Trapper will listen on all network interfaces if this parameter is missing.<br>Multiple IP addresses are supported since Zabbix 1.8.3.,match
Zabbix server,4.0,ListenPort,match,no,match,1024-32767,match,10051,match,Listen port for trapper.,match
